Month,Temperature (C),Precipitation (cm),Height (cm), Flood Effect, Deer
0,-6.28,22.23,1.27,0.00,1
1,-3.41,29.06,0.00,0.00,0
2,10.84,25.97,0.00,0.00,0
3,15.80,31.33,0.00,-25.02,1
4,17.06,31.09,0.00,12.51,0
5,22.65,17.50,2.54,11.26,0
6,17.97,11.90,4.83,10.13,1
7,15.01,2.79,5.62,9.12,2
8,13.36,0.00,4.93,8.21,3
9,10.29,0.00,2.79,7.39,2
10,-0.54,9.18,1.75,6.65,1
11,3.26,7.75,1.94,5.98,0
12,2.85,16.69,5.90,5.39,1
13,7.28,30.57,6.71,4.85,2
14,5.62,34.82,8.45,4.36,3
15,17.64,33.62,5.52,-64.98,4
16,22.44,29.70,0.00,32.49,3
17,21.24,23.99,2.79,29.24,2
18,15.84,7.01,6.19,26.32,1
19,22.23,4.56,10.27,23.68,2
20,13.98,0.00,12.54,21.32,3
21,11.61,1.22,13.06,19.18,4
22,3.58,5.67,11.92,17.27,5
23,0.71,16.21,9.14,15.54,4
24,0.62,16.83,7.27,13.99,3
25,4.90,28.54,22.61,12.59,2
26,12.30,34.02,22.63,11.33,3
27,15.80,30.58,21.12,-66.73,4
28,17.63,27.83,2.48,33.37,5
29,20.13,23.72,2.91,30.03,4
30,19.45,8.51,3.93,27.03,3
31,23.18,4.26,5.62,24.32,2
32,10.12,0.00,8.02,21.89,3
33,5.23,1.49,8.66,19.70,4
34,1.33,9.25,7.60,17.73,3
35,-2.57,11.31,7.39,15.96,2
36,-1.80,19.31,8.09,14.36,3
37,-3.30,27.81,7.20,12.93,4
38,9.19,31.38,4.76,11.63,3
39,13.71,29.64,3.31,-30.35,2
40,19.00,25.62,0.00,15.17,1
41,22.89,16.99,1.81,13.66,0
42,21.93,15.66,4.59,12.29,1
43,17.21,8.23,5.82,11.06,2
44,13.22,4.19,5.52,9.96,3
45,6.98,0.00,3.74,8.96,2
46,0.05,7.46,3.02,8.06,1
47,4.69,10.36,3.98,7.26,2
48,1.42,16.09,3.19,6.53,1
49,4.54,25.22,23.50,5.88,2
50,5.96,30.03,29.10,5.29,3
51,17.19,30.49,26.36,-63.17,4
52,14.94,26.44,8.45,31.59,5
53,17.76,22.06,8.52,28.43,4
54,23.55,13.52,9.21,25.58,3
55,20.68,0.46,10.60,23.03,4
56,15.76,1.97,10.20,20.72,5
57,9.74,0.13,8.06,18.65,4
58,0.93,4.74,6.77,16.79,3
59,-1.34,14.07,6.37,15.11,2
60,-4.96,23.90,6.90,13.60,3
61,-2.59,26.72,5.86,12.24,2
62,4.10,30.30,19.28,11.01,3
63,11.56,32.10,17.71,-56.73,4
64,15.15,28.66,1.11,28.36,5
65,21.46,21.25,0.52,25.53,4
66,25.40,15.45,0.63,22.98,3
67,21.79,0.43,1.48,20.68,2
68,18.36,0.00,3.15,18.61,1
69,4.98,0.72,5.66,16.75,2
70,3.98,4.00,6.54,15.07,3
71,-2.47,13.47,5.79,13.57,2
